Messages,Lang
gg,ENGLISH
lols,ENGLISH
end it,ENGLISH
ohh stfu,ENGLISH
XD,SPANISH
XD,SPANISH
hehe,ENGLISH
hehe,ENGLISH
hehe,ENGLISH
hehe,ENGLISH
hehe,ENGLISH
hehe,ENGLISH
go straight,ENGLISH
pls,ENGLISH
top hehe?,ENGLISH
Ez ck,ENGLISH
hehe,ENGLISH
?,[]
EZ,SPANISH
hehe forver,SPANISH
ez noobs,SPANISH
ez af,SPANISH
keep spamming,ENGLISH
one hand voker,ENGLISH
u gonna win it,ENGLISH
soon,ENGLISH
awww,ENGLISH
triggered,ENGLISH
ehhehehhe,SPANISH
долбаеб,RUSSIAN
)),[]
aw,ENGLISH
lag,ENGLISH
log,ENGLISH
of couerse,SPANISH
die mf,ENGLISH
AHAHAHA,SPANISH
i swear ur whole family today the same way uselss farmer fuck np,ENGLISH
28 mins sup dog farming,ENGLISH
me too,ENGLISH
farmed all day for this shit,ENGLISH
go fucking farm inside ur moms grave fuck hea dnp,ENGLISH
these fucking sups lol,ENGLISH
walking and die,ENGLISH
ez top,SPANISH
aghhahaha,SPANISH
canerous fuck head ,ENGLISH
DIVE PA,ENGLISH
EZ,SPANISH
no way u rped the blast ,ENGLISH
leave,ENGLISH
XD,SPANISH
report pudge ,ENGLISH
we already didi,ENGLISH
yep,ENGLISH
sry,ENGLISH
this will work,ENGLISH
i am sure,ENGLISH
just to show u,ENGLISH
how ,ENGLISH
seriosly,ENGLISH
Bad are u,SPANISH
worse than pudge,ENGLISH
why ,ENGLISH
Stack report,ENGLISH
you getting crushed by bad players :3,ENGLISH
rzor,SPANISH
we cant win,ENGLISH
acc buyer,ENGLISH
u got lucke,ENGLISH
lucky,ENGLISH
we got razor pudge,ENGLISH
yep,ENGLISH
its 50% sistem,SPANISH
defoult,ENGLISH
gg wp gl next,ENGLISH
2 ignite ,ENGLISH
nice,ENGLISH
TROLL  LINKEN ,ENGLISH
WTF ,ENGLISH
its for me late game infest,ENGLISH
LOL,SPANISH
BB SKILL 1  LINKEN IS USELESS,ENGLISH
LOL,SPANISH
WHAT IS THE PURPOSE OF MAGNUS,ENGLISH
?,[]
SERIOSLLY WHY MAGNUS,ENGLISH
useless lol,ENGLISH
: ),[]
haha,ENGLISH
HAHAHA,SPANISH
go mid guys,ENGLISH
why ,ENGLISH
haha,ENGLISH
END,ENGLISH
ENX,ENGLISH
ENX,ENGLISH
hAHA,ENGLISH
1-12-9  ??,[]
U BETTER WATCH OUT roberto,ENGLISH
watching,ENGLISH
i dont even know who you are,ENGLISH
gg,ENGLISH
ggs,ENGLISH
推了吧,CHINESE
我一人补助4,CHINESE
can some1 pos 1 or 2?,ENGLISH
на виспе,RUSSIAN
кадр),RUSSIAN
GG,ENGLISH
report lifestealer plz,ENGLISH
XD,SPANISH
Look at him,ENGLISH
i get killd in tower he is farmoing,ENGLISH
look at him,ENGLISH
lkook at my carry again,ENGLISH
yout mid lvl 9,ENGLISH
my mid lvl 6,ENGLISH
my carry autoattack braindead,ENGLISH
who`s gonna win this game?,ENGLISH
i think no mid no carry team will win,ENGLISH
ez luna and cm,SPANISH
did nothing and wonü,ENGLISH
yes,ENGLISH
ez game ,ENGLISH
yeah ez,ENGLISH
),[]
),[]
твар,RUSSIAN
GGGGGGGGGGGGGGGGGGGGGGGGG,SPANISH
АХУЕННО,RUSSIAN
ахааха равага в пустую,RUSSIAN
в трон,RUSSIAN
ну у урсы уже бф ,RUSSIAN
не все так и плохо огр ,RUSSIAN
),[]
Тайд долбоекб,RUSSIAN
Фарма не дал нормально ,RUSSIAN
Вот и пусть вывозит,RUSSIAN
репорт за токсик лови,RUSSIAN
Ок БРО,RUSSIAN
Я не проти,RUSSIAN
че меня то,RUSSIAN
дайте спушить ,RUSSIAN
встаньте афк ,RUSSIAN
НОРМ БАЙТ,RUSSIAN
ладно,RUSSIAN
афк,RUSSIAN
говорит афк и сам дефаете ,RUSSIAN
+,[]
дефает*,RUSSIAN
??,[]
не тяните плиз ,RUSSIAN
проебали же ,RUSSIAN
ебанутая тракса ,RUSSIAN
ge ge,ENGLISH
а че не тяните игру? ,RUSSIAN
лёгкие,RUSSIAN
база падает ,RUSSIAN
Спасибо за игру!,RUSSIAN
ногами играл ,RUSSIAN
крут,RUSSIAN
изи ,RUSSIAN
),[]
гггггггггггггра,RUSSIAN
а чё сделаешь,RUSSIAN
когда в команде,RUSSIAN
типы,RUSSIAN
30 сек реагировали,RUSSIAN
;3,[]
гг,RUSSIAN
несите,RUSSIAN
нонсенс,RUSSIAN
вы кула,RUSSIAN
к мамам своим,RUSSIAN
на могилу,RUSSIAN
пошли,RUSSIAN
пушьте,RUSSIAN
кто хочет рампагу?,RUSSIAN
яяя,RUSSIAN
я,RUSSIAN
идите нахуй,RUSSIAN
отпизди меня,RUSSIAN
я пол хп,RUSSIAN
в миду,RUSSIAN
абать,RUSSIAN
уфффффффффффффффф,RUSSIAN
пак соло,RUSSIAN
дайте рампагу,RUSSIAN
мы хотим дать,RUSSIAN
но вы  все жадные дауны,RUSSIAN
),[]
рампагу,RUSSIAN
(,[]
;(,[]
ппц,RUSSIAN
вот ,RUSSIAN
жадные,RUSSIAN
4 килла,RUSSIAN
пиздец,RUSSIAN
не рампага ;(,RUSSIAN
ща дам,RUSSIAN
пдждите,RUSSIAN
ПП,RUSSIAN
лох,RUSSIAN
анлак парни\\,RUSSIAN
:(,[]
你这大哥,CHINESE
跟你水平有差距啊,CHINESE
wtf,ENGLISH
HAHA,ENGLISH
REPORT,ENGLISH
ФАЛ,RUSSIAN
end？,ENGLISH
yeah ,ENGLISH
sk pro here,ENGLISH
give me reeaper,ENGLISH
no money,ENGLISH
REPORT RIKI,ENGLISH
TXH,SPANISH
commended,ENGLISH
hahaha,SPANISH
report sk ,ENGLISH
Ez game,ENGLISH
come raeper,ENGLISH
XD,SPANISH
bobo sk ,ENGLISH
wtf,ENGLISH
gg ,ENGLISH
gg,ENGLISH
推了,CHINESE
куда то собрался?,RUSSIAN
who banned m jakiro,SPANISH
?,[]
im done boys.,ENGLISH
ggwp,ENGLISH
lucky mid,ENGLISH
Carried,ENGLISH
can u take me back down magnus?,ENGLISH
i dont wanna waste tp,ENGLISH
Xd,SPANISH
H,ENGLISH
slark,ENGLISH
iq?,SPANISH
tanga amputa,SPANISH
chinese fkers e,ENGLISH
covid supplier,SPANISH
wag kang maingay pede?,ENGLISH
naway manalo ka,ENGLISH
tanga kadin e,SPANISH
last hit kamjuna,ENGLISH
sana maka cs ka,ENGLISH
ha,ENGLISH
ikaw din :),ENGLISH
iow,ENGLISH
ilan ,SPANISH
sana tumagal ka ng 20 min,SPANISH
level 2?,ENGLISH
HAHA lt,ENGLISH
uwe,ENGLISH
sana manalo ka,SPANISH
ha,ENGLISH
sobrang engot mo,SPANISH
marnong kaba mag dota?,ENGLISH
YHAHAHAHAHAHAH,SPANISH
BOBO ,SPANISH
amp,SPANISH
ingay mo ah,ENGLISH
HAHAHAHA,SPANISH
iyak kana?,ENGLISH
tira kalng ng tira e,ENGLISH
pede mag stop ha?,ENGLISH
kpag mag cs ha,ENGLISH
focus ka,ENGLISH
sapakin kita e,ENGLISH
we?,ENGLISH
sobrang engot mo,SPANISH
lalo ka na,SPANISH
ha?,ENGLISH
level 4?,ENGLISH
level bayan?,ENGLISH
bobo,SPANISH
tulog kana,SPANISH
ilan cs mo lima?,ENGLISH
anim ,SPANISH
?,[]
p;atay kana,ENGLISH
anim,SPANISH
XD,SPANISH
pito na ,SPANISH
HAHA,ENGLISH
tanga,SPANISH
binastos,SPANISH
sana manalo kami?,SPANISH
bobo nmn pla tong mid nmin,ENGLISH
sobra,SPANISH
ingay2 bobo pla,ENGLISH
naway manalo ka ,ENGLISH
sobrang bobo ,SPANISH
naway sana mag tagal laro nyo,SPANISH
PAG IKAW TUMAHIMIK ,ENGLISH
sAPAKIN KITA,ENGLISH
OO ,ENGLISH
legit?,ENGLISH
uwe kana?,ENGLISH
tp mid,ENGLISH
patay to,ENGLISH
HAHA,ENGLISH
luh,ENGLISH
pause pause kapal ng mukh,ENGLISH
HAHAHAHA,SPANISH
chinese fker ,ENGLISH
PAUSE2 PA ANG BOBO KALA MO TLGA,ENGLISH
Shhh,SPANISH
HAHAH,SPANISH
Lt,ENGLISH
sana tumagal akyo,SPANISH
awit,ENGLISH
wow,ENGLISH
gank tapos patay,ENGLISH
good gank,ENGLISH
sheshj,ENGLISH
INANG MID YAN WALA NG TOWER,ENGLISH
hahaha,SPANISH
bobo nga,SPANISH
bobo kayong lahat ,ENGLISH
shhh,SPANISH
oo ikaw lang bobo,ENGLISH
yabang niyan kanina eh,SPANISH
sabi,SPANISH
mas malakas pa bunganga mo eh pero ambobo mo mid pa,SPANISH
shesh,ENGLISH
HAHAHA,SPANISH
HAHA,ENGLISH
pahiya si tanga,SPANISH
tatanga,ENGLISH
gege mid pa,ENGLISH
malaks yan,ENGLISH
uy,SPANISH
magkano ba divine ngayon?,ENGLISH
shhh ancshit,ENGLISH
MAGKANO BA>?,ENGLISH
XD,SPANISH
MID BA YAN?,SPANISH
oo,ENGLISH
isa laban sa lahat ba naman,SPANISH
HAHAHAHAHAHAHAHA,SPANISH
free mid ah,ENGLISH
INANG MID YAN ,ENGLISH
mura lg ata divine ngayon,ENGLISH
11 mns wala ng tower lahat mid,ENGLISH
xD,SPANISH
BOBO KAYO E,SPANISH
MALAMANG,ENGLISH
BOBO ka,SPANISH
gago,SPANISH
di sila,SPANISH
TANGINA NYONG LAHAT,ENGLISH
sana talaga tumagal ka ,SPANISH
hAHAHAHA,SPANISH
lose mid e,ENGLISH
L,SPANISH
pati paty ni wr d na sya nirereplyan si hoodwink,ENGLISH
O,SPANISH
W,ENGLISH
lose mid,ENGLISH
R,SPANISH
A,SPANISH
N,ENGLISH
K,ENGLISH
lose mid ,ENGLISH
lose mid,ENGLISH
e,SPANISH
gagawin mo,ENGLISH
12 mins mega na lane mo tol,ENGLISH
matic mahina e,ENGLISH
wanna be mid eh,ENGLISH
parang herald,ENGLISH
magkano ba divine ngayon?,ENGLISH
oy pahiya na yung isa dito,SPANISH
awit,ENGLISH
end niyo na,ENGLISH
bat mo nmn kinantot sa mid,ENGLISH
pahiya sa mas baba sakin,SPANISH
HAHAHAHAHA,SPANISH
HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAA,SPANISH
POTA 14 MINS,ENGLISH
HAHAHAHAHAHHAAHAHAHAH,ENGLISH
kuya nya yung hoodwink,ENGLISH
shesh,ENGLISH
solid talga,SPANISH
kuya nya si hood,ENGLISH
report nalng,ENGLISH
d sya maitanggol,ENGLISH
Bat mahihiya sa mas baba sakin?,ENGLISH
kase bobo nya mag mid,SPANISH
report nalng,ENGLISH
pag ganyan,ENGLISH
explain mo nga,ENGLISH
mayabng pa,ENGLISH
mahina namn,ENGLISH
mayabang tanga,SPANISH
kapg mahina wag na mag yabng,ENGLISH
OK wr?,ENGLISH
kuya hood yung wind mo tinatrashtalk na,ENGLISH
TRUE,SPANISH
MID GOD,ENGLISH
sana manalo kami?,SPANISH
MID GOD <3,ENGLISH
mid god ,ENGLISH
KING INAMO,ENGLISH
TANGA,SPANISH
si kuya,SPANISH
ahahahahhahaah,SPANISH
findmatch,ENGLISH
GE,ENGLISH
mk too fat,ENGLISH
Wtf,ENGLISH
feed too much,ENGLISH
gg noob invo,ENGLISH
mk too fat fed good,ENGLISH
lol?,SPANISH
?,[]
ty doomie,ENGLISH
gj wraith king lol,ENGLISH
hahaha,SPANISH
gg,ENGLISH
ez gg,SPANISH
gg ez doom and wraith ,ENGLISH
сф,RUSSIAN
Де,RUSSIAN
а ты потный?,RUSSIAN
Та не,RUSSIAN
пощади,RUSSIAN
 3 км бегал,RUSSIAN
гг,RUSSIAN
ебать ты,RUSSIAN
напугал,RUSSIAN
эх(,RUSSIAN
сносите ,RUSSIAN
))),[]
у меня скрыто пульные уебаны,RUSSIAN
хуле ты лыбу давишь бомж ,RUSSIAN
ааХАхахахахахахахаахавхыаха,RUSSIAN
блят,RUSSIAN
какой кринж,RUSSIAN
пудж ,RUSSIAN
скажи честно,RUSSIAN
ты будущее читаешь?,RUSSIAN
да,RUSSIAN
мы выйграем,RUSSIAN
верю ,RUSSIAN
ты сможешь пудж,RUSSIAN
МНЕ НУЖНО СОБРАТЬ РАПИРУ,RUSSIAN
ты идиот на пудже ,RUSSIAN
изи,RUSSIAN
дум ,RUSSIAN
ты тоже ,RUSSIAN
крутой ,RUSSIAN
чё я тоже,RUSSIAN
рамапагу суки ,RUSSIAN
соло,RUSSIAN
я где то ошибся?,RUSSIAN
ez,SPANISH
падла инвизная,RUSSIAN
поймал,RUSSIAN
на генджутсу,RUSSIAN
харош,RUSSIAN
гг,RUSSIAN
вк соло,RUSSIAN
мне поебать,RUSSIAN
ez ,SPANISH
ебать изи,RUSSIAN
go afk maybe?,ENGLISH
ты видел как ты лайн начал),RUSSIAN
ебало закрой),RUSSIAN
не играю на лине,RUSSIAN
слабые,RUSSIAN
рбеят,RUSSIAN
лопнул,RUSSIAN
не приходи сюда,RUSSIAN
фидишь,RUSSIAN
а можно еще больше людей,RUSSIAN
пж,RUSSIAN
аъхаъхаъхаъхфа,RUSSIAN
ъх,RUSSIAN
ъхаъхфыаъхфаъхафхъ,RUSSIAN
ъхыаъхфваъхфа,RUSSIAN
виу,RUSSIAN
виук,RUSSIAN
виу,RUSSIAN
не жмется,RUSSIAN
до конца думал что копия,RUSSIAN
аъхаъхаъхаъхъаъх,RUSSIAN
ъхаъхаъхаъхъахвъхаъх,RUSSIAN
копии дуэльку отдал,RUSSIAN
ъахъхвахъвъх,RUSSIAN
ez mid,SPANISH
изи,RUSSIAN
3к звери,RUSSIAN
?,[]
goodafternoon,ENGLISH
shet,ENGLISH
aw,ENGLISH
nc hook pudhe,SPANISH
thx,SPANISH
haha,ENGLISH
roshaun,ENGLISH
ez,SPANISH
so ez,SPANISH
gg ,ENGLISH
ez mid,SPANISH
lmao,ENGLISH
ez ,SPANISH
yes ez mid,SPANISH
да заебал,RUSSIAN
要不,CHINESE
сука уёбище,RUSSIAN
лакерное,RUSSIAN
блять,RUSSIAN
дай покафовать,RUSSIAN
против шейкера ,RUSSIAN
морф ты прошлую ам играл?,RUSSIAN
КАК МОЖНО БЫЛО ПРОЕБАТЬ ЛИНИИ ВНИЗУ/,RUSSIAN
НА МОРФЕ,RUSSIAN
С ЦМКОЙ,RUSSIAN
чел в тильтостан уехал,RUSSIAN
с нулевой,RUSSIAN
ПП,RUSSIAN
ПП,RUSSIAN
что с ебалом тинкеро пикер(,RUSSIAN
?,[]
stupid midlane,SPANISH
gp quit dota,SPANISH
XD,SPANISH
XD,SPANISH
hahah,SPANISH
gonna tp,ENGLISH
hey go quit,ENGLISH
XD,SPANISH
YOU CANT KILL MY WARDS,ENGLISH
XD,SPANISH
HAHAHA,SPANISH
you waste buying of sentry,ENGLISH
g straight,ENGLISH
SNIPER LOSING TO LINA 2024,ENGLISH
HOW,ENGLISH
just end mid bro,ENGLISH
my lion dont know how to play,ENGLISH
as if he knows,ENGLISH
cANT BUY SENTRY TO BLOCK CAMP,ENGLISH
big nose fan,ENGLISH
XD,SPANISH
ez mid,SPANISH
sniper lose to lina,ENGLISH
idk how,ENGLISH
tf,ENGLISH
lol,SPANISH
i see u bruh,ENGLISH
gg,ENGLISH
ggwp,ENGLISH
pls idiot mag,ENGLISH
carry mag,ENGLISH
炸弹你是不是脚本啊,CHINESE
太牛了,CHINESE
啊 这把shiwu那么多,CHINESE
gank me?,ENGLISH
hahahaha,SPANISH
wtf?,ENGLISH
ggs,ENGLISH
wp radiant bot,ENGLISH
gg,ENGLISH
陨星锤把,CHINESE
信？,CHINESE
不骗人,CHINESE
速度,CHINESE
A装备,CHINESE
你们不找我，我不找你们,CHINESE
多送几个,CHINESE
出得快,CHINESE
hahaha,SPANISH
??????????,[]
dont def noobs,ENGLISH
gg,ENGLISH
idiot luna,ENGLISH
EZ,SPANISH
end,ENGLISH
ry,ENGLISH
go end it,ENGLISH
i`m afk farming,ENGLISH
fuckign support tb support centaur,ENGLISH
go straight mid,ENGLISH
ty,ENGLISH
stfu afk dog,ENGLISH
pos5 tb,SPANISH
no tangoes,ENGLISH
just boots,ENGLISH
farming,ENGLISH
too much yt,ENGLISH
cent 4,ENGLISH
lvl 1 stun,ENGLISH
XDDD,SPANISH
stop talking idiot PA,ENGLISH
oh no,ENGLISH
hahaha idiot PA,SPANISH
pignoise is pausing,ENGLISH
ROFL,SPANISH
these pignoise,ENGLISH
really are the dimbest,ENGLISH
players,ENGLISH
in the entier world,ENGLISH
ROGFL,SPANISH
man,ENGLISH
i hope philippines,ENGLISH
u sucks,ENGLISH
g,ENGLISH
noob,SPANISH
get fucked,ENGLISH
by a typhoon,ENGLISH
or smt,ENGLISH
XDD,SPANISH
suck PA,ENGLISH
ROFL,SPANISH
Pignosie,SPANISH
ROFL,SPANISH
you and these morons,ENGLISH
should die,ENGLISH
just quit PA,ENGLISH
quit your mom,ENGLISH
dog pignoise,ENGLISH
cry PA,ENGLISH
you should tell your mom,ENGLISH
to quit,ENGLISH
fuckign me,ENGLISH
weak shet,ENGLISH
It`s so good,ENGLISH
weak shet,ENGLISH
Кузя Лакомка,RUSSIAN
надеюсь ты в свою маму так же харкаешь,RUSSIAN
ЫВЗЩАВАЩЗХ,RUSSIAN
высказался,RUSSIAN
убил чухан?,RUSSIAN
на лайне не смог стоять пошёл на сайды фидить?,RUSSIAN
изи,RUSSIAN
мид,RUSSIAN
ez,SPANISH
и изи игра,RUSSIAN
+,[]
:,[]
:),[]
REoprt LEgion,ENGLISH
PLs,ENGLISH
u noob ,SPANISH
undy,ENGLISH
i report u,ENGLISH
OK,ENGLISH
y to,ENGLISH
AXE,ENGLISH
?,[]
?,[]
GJ,SPANISH
noob,SPANISH
AXE PRO ,ENGLISH
NEED TEAM,ENGLISH
NO GAME,ENGLISH
lol,SPANISH
cryy,ENGLISH
HM,ENGLISH
FF,ENGLISH
now u feeding?,ENGLISH
what a guy,ENGLISH
NO VISIOON,ENGLISH
XD,SPANISH
FF,ENGLISH
END,ENGLISH
OMG,ENGLISH
jajajajaja,SPANISH
the baby,ENGLISH
THIS IS NOT NORMAL,ENGLISH
TEMA,SPANISH
TEAM,ENGLISH
получила пизды?,RUSSIAN
wp phantom,ENGLISH
EZ,SPANISH
WP,ENGLISH
гг,RUSSIAN
gg,ENGLISH
XD,SPANISH
XD,SPANISH
Haha,ENGLISH
jackpot for aba,ENGLISH
big win,ENGLISH
:P,SPANISH
XD,SPANISH
haha,ENGLISH
aw,ENGLISH
XD,SPANISH
ez void,ENGLISH
oh no bb,ENGLISH
XD,SPANISH
WOW DODGE,ENGLISH
report sniper,ENGLISH
acc buyer ty,ENGLISH
gg,ENGLISH
гг,RUSSIAN
у вас шансов нет парни ъ,RUSSIAN
дайте закончить ,RUSSIAN
мыслите объективно ,RUSSIAN
ну ломай,RUSSIAN
хуле ты,RUSSIAN
ну гг,RUSSIAN
calm cutie,SPANISH
ezs mid,ENGLISH
SO EZ,SPANISH
我有队友 嘿嘿,CHINESE
Бегающие стаки пытаются сопротивляться?,RUSSIAN
6 12,[]
),[]
жестко,RUSSIAN
=),[]
"реально добрый чел, позитивный",RUSSIAN
FF,ENGLISH
gg,ENGLISH
???,[]
这小狗,CHINESE
是你们养的？,CHINESE
你他吗一个人冲塔都不看队友的还好意思压力,CHINESE
我喊了半天，他不动,CHINESE
真的牛逼，大优势对线，不来打,CHINESE
大树像个植物人,CHINESE
他贝莱就是植物呀,CHINESE
这军团五级跑了,CHINESE
那就不玩了呗,CHINESE
我双杀，买鞋，买榴弹，追着两个人打，小狗看戏,CHINESE
那就不玩了呗,CHINESE
ez,SPANISH
morph,ENGLISH
ez,SPANISH
ezs,ENGLISH
EZ,SPANISH
gg,ENGLISH
ВК намахался,RUSSIAN
ДА ХУЛИ,RUSSIAN
ЛУНА,RUSSIAN
ЖИВОТНОЕ,RUSSIAN
ЕБАНОЕ,RUSSIAN
да ях з мне чел говор,RUSSIAN
собирать бабочку,RUSSIAN
первым слотом,RUSSIAN
на ву,RUSSIAN
и где она?,RUSSIAN
гений,RUSSIAN
и говорит,RUSSIAN
что я игру проебал ,RUSSIAN
Fking Smurf,ENGLISH
Meepo 29 Cruis iII,ENGLISH
no_smurd,ENGLISH
Report huskar,ENGLISH
+,[]
GG,ENGLISH
Report Techies,ENGLISH
just feed,ENGLISH
一波速度,CHINESE
速推,CHINESE
mass report,ENGLISH
yea ,ENGLISH
my team want win ,ENGLISH
help to improve dota2 community ... thank you,ENGLISH
help to improve dota2 community ... thank you,ENGLISH
help to improve dota2 community ... thank you,ENGLISH
hard sup tb,ENGLISH
help to improve dota2 community  mass report plss to avoid this player... thank you,ENGLISH
safe lane pick time afk,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
WHAT,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
hard sup tb,ENGLISH
and want win,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
kahit meron tanga sa team nakaka patay pa rin nmn kahit papaanu hahahah,SPANISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
sama sama lng kayo mag push tapos mag def kami para nmn medyo masaya,SPANISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
and want win ,ENGLISH
hard sup tb ,ENGLISH
help to improve dota2 community  mass report plss to avoid this player,ENGLISH
hard sup tb and last pick afk sniper,ENGLISH
and crying to win,ENGLISH
sad kid :(,SPANISH
ez game hahahah,SPANISH
"THAT WASNT EVEN A GA,ME",ENGLISH
？？？,[]
太惨了,CHINESE
gg,ENGLISH
end,ENGLISH
end,ENGLISH
Mid as,SPANISH
5,[]
no deff,ENGLISH
your team def my frendo,ENGLISH
u cannot,ENGLISH
kill arc midas,SPANISH
maelstrom,ENGLISH
20 sec respawn,ENGLISH
no reason,ENGLISH
ok,ENGLISH
why you tilting mister slark,ENGLISH
fck,ENGLISH
anrel mid,ENGLISH
HAHAHA WE GOT A GREED TEAM,ENGLISH
We got 0-12 godlike too,ENGLISH
GO LS ,ENGLISH
HAHAHAH,SPANISH
GO END,SPANISH
offlane murag accnt buyer,ENGLISH
hahh,SPANISH
Report top :) ,ENGLISH
Ty,ENGLISH
tY,ENGLISH
ez,SPANISH
ez memek,SPANISH
WKWKWKW,ENGLISH
toxic indog,SPANISH
ez,SPANISH
TAGA,ENGLISH
TANGA,SPANISH
lol pa am,SPANISH
memek,ENGLISH
what a moron,SPANISH
pa noob,SPANISH
come oa,ENGLISH
noob,SPANISH
ez,SPANISH
gay,ENGLISH
pa noob,SPANISH
че побегали за инвокером 4-кой?,RUSSIAN
гг,RUSSIAN
репорт фантомке и морфу,RUSSIAN
стоят афк на респе теперь,RUSSIAN
нафидили игру и довольны уебки,RUSSIAN
"спушьте хг уже, похуй. Два уебка бесполезных в команде",RUSSIAN
дадим вам шанс,RUSSIAN
ez,SPANISH
ez,SPANISH
а койла нит,RUSSIAN
gg,ENGLISH
3 110)),[]
а что ты хотел от него вс сларк и я,RUSSIAN
уйти с лайна после 1 смерти,RUSSIAN
на 3 лв?),RUSSIAN
экспу получать под вышкой,RUSSIAN
я пулил,RUSSIAN
да у меня чле на шамане тоже,RUSSIAN
по кд на 1 стак ,RUSSIAN
отводит,RUSSIAN
не,RUSSIAN
я на 2,RUSSIAN
всю линию крипы у их вышки,RUSSIAN
всю линию испортил и ушел,RUSSIAN
gg,ENGLISH
куда меян закинула твари сука,RUSSIAN
ОТЖВЙ,RUSSIAN
ОТДВЙ,RUSSIAN
ПЖПЖ,RUSSIAN
ЧМО,RUSSIAN
)),[]
??,[]
ахуеть,RUSSIAN
внукам катку можешь показывать потом инвок,RUSSIAN
очень чесная игра,RUSSIAN
)),[]
cjkj ,ENGLISH
cоло,RUSSIAN
пропудж,RUSSIAN
"фух, победка",RUSSIAN
некст),RUSSIAN
идите по миду,RUSSIAN
вам никто не мешает давно,RUSSIAN
афк?,RUSSIAN
наигрались?,RUSSIAN
шанс ведь есть всегда,RUSSIAN
А чего распизделись то? НА 3к выигрываете не часто ,RUSSIAN
Против пацанов 0 11,RUSSIAN
я часто,RUSSIAN
и я часто,RUSSIAN
каждый день,RUSSIAN
ФУХ,RUSSIAN
ПОБЕДКА,RUSSIAN
гг,RUSSIAN
гг,RUSSIAN
sange amat,ENGLISH
btm,ENGLISH
HAHA,ENGLISH
Ez mga tanga,SPANISH
i  afk going toilet,ENGLISH
mid nyx,ENGLISH
zz,ENGLISH
lc off,ENGLISH
zzz,SPANISH
gm tier,SPANISH
So noob,SPANISH
WARDED bro,ENGLISH
?,[]
?,[]
?,[]
?,[]
?,[]
?,[]
gay hero,ENGLISH
wtf,ENGLISH
HAHAHAHA,SPANISH
ez,SPANISH
report lc,ENGLISH
Afjk,SPANISH
GGWP,ENGLISH
тварь,RUSSIAN
что такое? ,RUSSIAN
давайте через минуту,RUSSIAN
ало ебать ,RUSSIAN
Чудо нахуй ты паузишь ,RUSSIAN
сын гуля,RUSSIAN
"с кем он пати, что с ним?",RUSSIAN
ты убил кого то чтобы паузить ебасос? ,RUSSIAN
"тильт, можно не ждать",RUSSIAN
или че нахуй,RUSSIAN
а ты чё типо из 2021?,RUSSIAN
mk 0-2 on lane xD,ENGLISH
gg,ENGLISH
report my team,ENGLISH
ПАЙПА НЕ КОНТРИТСЯ,RUSSIAN
ЛЕШРАК,RUSSIAN
?,[]
Говорю пайпа не контрится,RUSSIAN
че ты вопросики ставишь,RUSSIAN
BLYAT MAN,ENGLISH
pipe ,ENGLISH
pipe > leshrak,ENGLISH
my mk is mentally challenged,ENGLISH
why slardar mad?,SPANISH
mid  end,ENGLISH
no def,ENGLISH
PLS ,ENGLISH
why slardar mad?,SPANISH
DEF,ENGLISH
dont give up !,ENGLISH
why slardar mad?,SPANISH
why slardar mad?,SPANISH
no one  know why,ENGLISH
why slardar mad?,SPANISH
why slardar mad?,SPANISH
just push mid,ENGLISH
whjy slardar mad?,SPANISH
eh ?,ENGLISH
feed us,ENGLISH
report wl pls,ENGLISH
put the yellow,ENGLISH
my mom clalled me,ENGLISH
mb,SPANISH
report am offlane ,ENGLISH
thanks,ENGLISH
actually a good idea,ENGLISH
my efforts in mid gone ,ENGLISH
so sad,SPANISH
gg,ENGLISH
nt,ENGLISH
ggwp,ENGLISH
WARLOCK MVP ,ENGLISH
ye hes dead,ENGLISH
gg,ENGLISH
ez offlane ,ENGLISH
report ,ENGLISH
Gg,ENGLISH
ez,SPANISH
ебать дальаеьы,RUSSIAN
Сайленсер мид - это как будто что-то на рекрутском,RUSSIAN
ГГ,RUSSIAN
Сносите,RUSSIAN
report jakiro,ENGLISH
not ,ENGLISH
НРУ БЫСТРЕЕ,RUSSIAN
вы проебали,RUSSIAN
10 смертей у мидера,RUSSIAN
Легенда,RUSSIAN
11,[]
Парень к успеху шел,RUSSIAN
Не фортануло,RUSSIAN
"Сайленсер мид, сайленсер мид, как ты хорош!",RUSSIAN
EZ,SPANISH
ИЗИ,RUSSIAN
идите в трон сразу ,RUSSIAN
ИЗИ,RUSSIAN
ОМНИК ИЗИШНЫЙ,RUSSIAN
ты дурной?),RUSSIAN
кто,RUSSIAN
течка,RUSSIAN
ПОПЛВЧЬ,RUSSIAN
мда хахах,RUSSIAN
просто гуля молодец,RUSSIAN
jd,SPANISH
推吧,CHINESE
不收了,CHINESE
?,[]
两个最菜的是真能整活,CHINESE
gl,ENGLISH
BLBNT YF [EQ,SPANISH
